Classifier1,Classifier2,Classifier3,Classifier4,UsingID,SWStart,SWEnd,HWDStart,HWEnd,DistType,Classifier1,Classifier2,Classifier3,Classifier4,RegenDelay,ResetAge,Percent
NFSitka_mineral,A,mineral,YC6,False,0,999,0,999,DISTID4,Sitka,L,mineral,YC6,0,1,100
NFSitka_mineral,A,mineral,YC10,False,0,999,0,999,DISTID4,Sitka,L,mineral,YC10,0,1,100
NFSitka_mineral,A,mineral,YC12_20,False,0,999,0,999,DISTID4,Sitka,L,mineral,YC12_20,0,1,100
NFSitka_mineral,A,mineral,YC4_12,False,0,999,0,999,DISTID4,Sitka,L,mineral,YC4_12,0,1,100
NFSitka_mineral,A,mineral,YC13_16,False,0,999,0,999,DISTID4,Sitka,L,mineral,YC13_16,0,1,100
NFSitka_mineral,A,mineral,YC17_20,False,0,999,0,999,DISTID4,Sitka,L,mineral,YC17_20,0,1,100
NFSitka_mineral,A,mineral,YC20_24,False,0,999,0,999,DISTID4,Sitka,L,mineral,YC20_24,0,1,100
NFSitka_mineral,A,mineral,YC24_30,False,0,999,0,999,DISTID4,Sitka,L,mineral,YC24_30,0,1,100
NFSitka_peat,A,peat,YC6,False,0,999,0,999,DISTID4,Sitka,L,peat,YC6,0,1,100
NFSitka_peat,A,peat,YC10,False,0,999,0,999,DISTID4,Sitka,L,peat,YC10,0,1,100
NFSitka_peat,A,peat,YC12_20,False,0,999,0,999,DISTID4,Sitka,L,peat,YC12_20,0,1,100
NFSitka_peat,A,peat,YC4_12,False,0,999,0,999,DISTID4,Sitka,L,peat,YC4_12,0,1,100
NFSitka_peat,A,peat,YC13_16,False,0,999,0,999,DISTID4,Sitka,L,peat,YC13_16,0,1,100
NFSitka_peat,A,peat,YC17_20,False,0,999,0,999,DISTID4,Sitka,L,peat,YC17_20,0,1,100
NFSitka_peat,A,peat,YC20_24,False,0,999,0,999,DISTID4,Sitka,L,peat,YC20_24,0,1,100
NFSitka_peat,A,peat,YC24_30,False,0,999,0,999,DISTID4,Sitka,L,peat,YC24_30,0,1,100
Sitka,L,mineral,YC6,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC6,0,1,100
Sitka,L,mineral,YC10,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC10,0,1,100
Sitka,L,mineral,YC12_20,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC12_20,0,1,100
Sitka,L,mineral,YC4_12,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC4_12,0,1,100
Sitka,L,mineral,YC13_16,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC13_16,0,1,100
Sitka,L,mineral,YC17_20,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC17_20,0,1,100
Sitka,L,mineral,YC20_24,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC20_24,0,1,100
Sitka,L,mineral,YC24_30,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC24_30,0,1,100
Sitka,L,peat,YC6,False,0,999,0,999,DISTID1,Sitka,L,peat,YC6,0,1,100
Sitka,L,peat,YC10,False,0,999,0,999,DISTID1,Sitka,L,peat,YC10,0,1,100
Sitka,L,peat,YC12_20,False,0,999,0,999,DISTID1,Sitka,L,peat,YC12_20,0,1,100
Sitka,L,peat,YC4_12,False,0,999,0,999,DISTID1,Sitka,L,peat,YC4_12,0,1,100
Sitka,L,peat,YC13_16,False,0,999,0,999,DISTID1,Sitka,L,peat,YC13_16,0,1,100
Sitka,L,peat,YC17_20,False,0,999,0,999,DISTID1,Sitka,L,peat,YC17_20,0,1,100
Sitka,L,peat,YC20_24,False,0,999,0,999,DISTID1,Sitka,L,peat,YC20_24,0,1,100
Sitka,L,peat,YC24_30,False,0,999,0,999,DISTID1,Sitka,L,peat,YC24_30,0,1,100
NFPine_mineral,A,mineral,YC6,False,0,999,0,999,DISTID4,Pine,L,mineral,YC6,0,1,100
NFPine_mineral,A,mineral,YC10,False,0,999,0,999,DISTID4,Pine,L,mineral,YC10,0,1,100
NFPine_mineral,A,mineral,YC12_20,False,0,999,0,999,DISTID4,Pine,L,mineral,YC12_20,0,1,100
NFPine_mineral,A,mineral,YC4_12,False,0,999,0,999,DISTID4,Pine,L,mineral,YC4_12,0,1,100
NFPine_mineral,A,mineral,YC13_16,False,0,999,0,999,DISTID4,Pine,L,mineral,YC13_16,0,1,100
NFPine_mineral,A,mineral,YC17_20,False,0,999,0,999,DISTID4,Pine,L,mineral,YC17_20,0,1,100
NFPine_mineral,A,mineral,YC20_24,False,0,999,0,999,DISTID4,Pine,L,mineral,YC20_24,0,1,100
NFPine_mineral,A,mineral,YC24_30,False,0,999,0,999,DISTID4,Pine,L,mineral,YC24_30,0,1,100
NFPine_peat,A,peat,YC6,False,0,999,0,999,DISTID4,Pine,L,peat,YC6,0,1,100
NFPine_peat,A,peat,YC10,False,0,999,0,999,DISTID4,Pine,L,peat,YC10,0,1,100
NFPine_peat,A,peat,YC12_20,False,0,999,0,999,DISTID4,Pine,L,peat,YC12_20,0,1,100
NFPine_peat,A,peat,YC4_12,False,0,999,0,999,DISTID4,Pine,L,peat,YC4_12,0,1,100
NFPine_peat,A,peat,YC13_16,False,0,999,0,999,DISTID4,Pine,L,peat,YC13_16,0,1,100
NFPine_peat,A,peat,YC17_20,False,0,999,0,999,DISTID4,Pine,L,peat,YC17_20,0,1,100
NFPine_peat,A,peat,YC20_24,False,0,999,0,999,DISTID4,Pine,L,peat,YC20_24,0,1,100
NFPine_peat,A,peat,YC24_30,False,0,999,0,999,DISTID4,Pine,L,peat,YC24_30,0,1,100
Pine,L,mineral,YC6,False,0,999,0,999,DISTID1,Pine,L,mineral,YC6,0,1,100
Pine,L,mineral,YC10,False,0,999,0,999,DISTID1,Pine,L,mineral,YC10,0,1,100
Pine,L,mineral,YC12_20,False,0,999,0,999,DISTID1,Pine,L,mineral,YC12_20,0,1,100
Pine,L,mineral,YC4_12,False,0,999,0,999,DISTID1,Pine,L,mineral,YC4_12,0,1,100
Pine,L,mineral,YC13_16,False,0,999,0,999,DISTID1,Pine,L,mineral,YC13_16,0,1,100
Pine,L,mineral,YC17_20,False,0,999,0,999,DISTID1,Pine,L,mineral,YC17_20,0,1,100
Pine,L,mineral,YC20_24,False,0,999,0,999,DISTID1,Pine,L,mineral,YC20_24,0,1,100
Pine,L,mineral,YC24_30,False,0,999,0,999,DISTID1,Pine,L,mineral,YC24_30,0,1,100
Pine,L,peat,YC6,False,0,999,0,999,DISTID1,Pine,L,peat,YC6,0,1,100
Pine,L,peat,YC10,False,0,999,0,999,DISTID1,Pine,L,peat,YC10,0,1,100
Pine,L,peat,YC12_20,False,0,999,0,999,DISTID1,Pine,L,peat,YC12_20,0,1,100
Pine,L,peat,YC4_12,False,0,999,0,999,DISTID1,Pine,L,peat,YC4_12,0,1,100
Pine,L,peat,YC13_16,False,0,999,0,999,DISTID1,Pine,L,peat,YC13_16,0,1,100
Pine,L,peat,YC17_20,False,0,999,0,999,DISTID1,Pine,L,peat,YC17_20,0,1,100
Pine,L,peat,YC20_24,False,0,999,0,999,DISTID1,Pine,L,peat,YC20_24,0,1,100
Pine,L,peat,YC24_30,False,0,999,0,999,DISTID1,Pine,L,peat,YC24_30,0,1,100
NFSGB_mineral,A,mineral,YC6,False,0,999,0,999,DISTID4,SGB,L,mineral,YC6,0,1,100
NFSGB_mineral,A,mineral,YC10,False,0,999,0,999,DISTID4,SGB,L,mineral,YC10,0,1,100
NFSGB_mineral,A,mineral,YC12_20,False,0,999,0,999,DISTID4,SGB,L,mineral,YC12_20,0,1,100
NFSGB_mineral,A,mineral,YC4_12,False,0,999,0,999,DISTID4,SGB,L,mineral,YC4_12,0,1,100
NFSGB_mineral,A,mineral,YC13_16,False,0,999,0,999,DISTID4,SGB,L,mineral,YC13_16,0,1,100
NFSGB_mineral,A,mineral,YC17_20,False,0,999,0,999,DISTID4,SGB,L,mineral,YC17_20,0,1,100
NFSGB_mineral,A,mineral,YC20_24,False,0,999,0,999,DISTID4,SGB,L,mineral,YC20_24,0,1,100
NFSGB_mineral,A,mineral,YC24_30,False,0,999,0,999,DISTID4,SGB,L,mineral,YC24_30,0,1,100
NFSGB_peat,A,peat,YC6,False,0,999,0,999,DISTID4,SGB,L,peat,YC6,0,1,100
NFSGB_peat,A,peat,YC10,False,0,999,0,999,DISTID4,SGB,L,peat,YC10,0,1,100
NFSGB_peat,A,peat,YC12_20,False,0,999,0,999,DISTID4,SGB,L,peat,YC12_20,0,1,100
NFSGB_peat,A,peat,YC4_12,False,0,999,0,999,DISTID4,SGB,L,peat,YC4_12,0,1,100
NFSGB_peat,A,peat,YC13_16,False,0,999,0,999,DISTID4,SGB,L,peat,YC13_16,0,1,100
NFSGB_peat,A,peat,YC17_20,False,0,999,0,999,DISTID4,SGB,L,peat,YC17_20,0,1,100
NFSGB_peat,A,peat,YC20_24,False,0,999,0,999,DISTID4,SGB,L,peat,YC20_24,0,1,100
NFSGB_peat,A,peat,YC24_30,False,0,999,0,999,DISTID4,SGB,L,peat,YC24_30,0,1,100
SGB,L,mineral,YC6,False,0,999,0,999,DISTID1,SGB,L,mineral,YC6,0,1,100
SGB,L,mineral,YC10,False,0,999,0,999,DISTID1,SGB,L,mineral,YC10,0,1,100
SGB,L,mineral,YC12_20,False,0,999,0,999,DISTID1,SGB,L,mineral,YC12_20,0,1,100
SGB,L,mineral,YC4_12,False,0,999,0,999,DISTID1,SGB,L,mineral,YC4_12,0,1,100
SGB,L,mineral,YC13_16,False,0,999,0,999,DISTID1,SGB,L,mineral,YC13_16,0,1,100
SGB,L,mineral,YC17_20,False,0,999,0,999,DISTID1,SGB,L,mineral,YC17_20,0,1,100
SGB,L,mineral,YC20_24,False,0,999,0,999,DISTID1,SGB,L,mineral,YC20_24,0,1,100
SGB,L,mineral,YC24_30,False,0,999,0,999,DISTID1,SGB,L,mineral,YC24_30,0,1,100
SGB,L,peat,YC6,False,0,999,0,999,DISTID1,SGB,L,peat,YC6,0,1,100
SGB,L,peat,YC10,False,0,999,0,999,DISTID1,SGB,L,peat,YC10,0,1,100
SGB,L,peat,YC12_20,False,0,999,0,999,DISTID1,SGB,L,peat,YC12_20,0,1,100
SGB,L,peat,YC4_12,False,0,999,0,999,DISTID1,SGB,L,peat,YC4_12,0,1,100
SGB,L,peat,YC13_16,False,0,999,0,999,DISTID1,SGB,L,peat,YC13_16,0,1,100
SGB,L,peat,YC17_20,False,0,999,0,999,DISTID1,SGB,L,peat,YC17_20,0,1,100
SGB,L,peat,YC20_24,False,0,999,0,999,DISTID1,SGB,L,peat,YC20_24,0,1,100
SGB,L,peat,YC24_30,False,0,999,0,999,DISTID1,SGB,L,peat,YC24_30,0,1,100
NFFGB_mineral,A,mineral,YC6,False,0,999,0,999,DISTID4,FGB,L,mineral,YC6,0,1,100
NFFGB_mineral,A,mineral,YC10,False,0,999,0,999,DISTID4,FGB,L,mineral,YC10,0,1,100
NFFGB_mineral,A,mineral,YC12_20,False,0,999,0,999,DISTID4,FGB,L,mineral,YC12_20,0,1,100
NFFGB_mineral,A,mineral,YC4_12,False,0,999,0,999,DISTID4,FGB,L,mineral,YC4_12,0,1,100
NFFGB_mineral,A,mineral,YC13_16,False,0,999,0,999,DISTID4,FGB,L,mineral,YC13_16,0,1,100
NFFGB_mineral,A,mineral,YC17_20,False,0,999,0,999,DISTID4,FGB,L,mineral,YC17_20,0,1,100
NFFGB_mineral,A,mineral,YC20_24,False,0,999,0,999,DISTID4,FGB,L,mineral,YC20_24,0,1,100
NFFGB_mineral,A,mineral,YC24_30,False,0,999,0,999,DISTID4,FGB,L,mineral,YC24_30,0,1,100
NFFGB_peat,A,peat,YC6,False,0,999,0,999,DISTID4,FGB,L,peat,YC6,0,1,100
NFFGB_peat,A,peat,YC10,False,0,999,0,999,DISTID4,FGB,L,peat,YC10,0,1,100
NFFGB_peat,A,peat,YC12_20,False,0,999,0,999,DISTID4,FGB,L,peat,YC12_20,0,1,100
NFFGB_peat,A,peat,YC4_12,False,0,999,0,999,DISTID4,FGB,L,peat,YC4_12,0,1,100
NFFGB_peat,A,peat,YC13_16,False,0,999,0,999,DISTID4,FGB,L,peat,YC13_16,0,1,100
NFFGB_peat,A,peat,YC17_20,False,0,999,0,999,DISTID4,FGB,L,peat,YC17_20,0,1,100
NFFGB_peat,A,peat,YC20_24,False,0,999,0,999,DISTID4,FGB,L,peat,YC20_24,0,1,100
NFFGB_peat,A,peat,YC24_30,False,0,999,0,999,DISTID4,FGB,L,peat,YC24_30,0,1,100
FGB,L,mineral,YC6,False,0,999,0,999,DISTID1,FGB,L,mineral,YC6,0,1,100
FGB,L,mineral,YC10,False,0,999,0,999,DISTID1,FGB,L,mineral,YC10,0,1,100
FGB,L,mineral,YC12_20,False,0,999,0,999,DISTID1,FGB,L,mineral,YC12_20,0,1,100
