Classifier1,Classifier2,Classifier3,Classifier4,UsingID,SWStart,SWEnd,HWDStart,HWEnd,DistType,Classifier1,Classifier2,Classifier3,Classifier4,RegenDelay,ResetAge,Percent
Sitka,L,mineral,YC6,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC6,0,1,100
Sitka,L,mineral,YC10,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC10,0,1,100
Sitka,L,mineral,YC4_12,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC4_12,0,1,100
Sitka,L,mineral,YC13_16,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC13_16,0,1,100
Sitka,L,mineral,YC17_20,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC17_20,0,1,100
Sitka,L,mineral,YC20_24,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC20_24,0,1,100
Sitka,L,mineral,YC24_30,False,0,999,0,999,DISTID1,Sitka,L,mineral,YC24_30,0,1,100
Sitka,L,peat,YC6,False,0,999,0,999,DISTID1,Sitka,L,peat,YC6,0,1,100
Sitka,L,peat,YC10,False,0,999,0,999,DISTID1,Sitka,L,peat,YC10,0,1,100
Sitka,L,peat,YC4_12,False,0,999,0,999,DISTID1,Sitka,L,peat,YC4_12,0,1,100
Sitka,L,peat,YC13_16,False,0,999,0,999,DISTID1,Sitka,L,peat,YC13_16,0,1,100
Sitka,L,peat,YC17_20,False,0,999,0,999,DISTID1,Sitka,L,peat,YC17_20,0,1,100
Sitka,L,peat,YC20_24,False,0,999,0,999,DISTID1,Sitka,L,peat,YC20_24,0,1,100
Sitka,L,peat,YC24_30,False,0,999,0,999,DISTID1,Sitka,L,peat,YC24_30,0,1,100
SGB,L,mineral,YC6,False,0,999,0,999,DISTID1,SGB,L,mineral,YC6,0,1,100
SGB,L,mineral,YC10,False,0,999,0,999,DISTID1,SGB,L,mineral,YC10,0,1,100
SGB,L,mineral,YC4_12,False,0,999,0,999,DISTID1,SGB,L,mineral,YC4_12,0,1,100
SGB,L,mineral,YC13_16,False,0,999,0,999,DISTID1,SGB,L,mineral,YC13_16,0,1,100
SGB,L,mineral,YC17_20,False,0,999,0,999,DISTID1,SGB,L,mineral,YC17_20,0,1,100
SGB,L,mineral,YC20_24,False,0,999,0,999,DISTID1,SGB,L,mineral,YC20_24,0,1,100
SGB,L,mineral,YC24_30,False,0,999,0,999,DISTID1,SGB,L,mineral,YC24_30,0,1,100
SGB,L,peat,YC6,False,0,999,0,999,DISTID1,SGB,L,peat,YC6,0,1,100
SGB,L,peat,YC10,False,0,999,0,999,DISTID1,SGB,L,peat,YC10,0,1,100
SGB,L,peat,YC4_12,False,0,999,0,999,DISTID1,SGB,L,peat,YC4_12,0,1,100
SGB,L,peat,YC13_16,False,0,999,0,999,DISTID1,SGB,L,peat,YC13_16,0,1,100
SGB,L,peat,YC17_20,False,0,999,0,999,DISTID1,SGB,L,peat,YC17_20,0,1,100
SGB,L,peat,YC20_24,False,0,999,0,999,DISTID1,SGB,L,peat,YC20_24,0,1,100
SGB,L,peat,YC24_30,False,0,999,0,999,DISTID1,SGB,L,peat,YC24_30,0,1,100
